Year,Author,Title
2000,Margaret Atwood,The Blind Assassin
2001,Peter Carey,True History of the Kelly Gang
2002,Yann Martel,Life of Pi
2003,DBC Pierre,Vernon God Little
2004,Alan Hollinghurst,The Line of Beauty
2005,John Banville,The Sea
2006,Kiran Desai,The Inheritance of Loss
2007,Anne Enright,The Gathering
2008,Aravind Adiga,The White Tiger
2009,Hilary Mantel,Wolf Hall
2010,Howard Jacobson,The Finkler Question
2011,Julian Barnes,The Sense of an Ending
2012,Hilary Mantel,Bring Up the Bodies
2013,Eleanor Catton,The Luminaries
2014,Richard Flanagan,The Narrow Road to the Deep North
2015,Marlon James,A Brief History of Seven Killings
2016,Paul Beatty,The Sellout
2017,George Saunders,Lincoln in the Bardo
2018,Anna Burns,Milkman
2019,Margaret Atwood,The Testaments
2019,Bernardine Evaristo,Girl Woman Other
2020,Douglas Stuart,Shuggie Bain
2021,Damon Galgut,The Promise
2022,Richard Powers,Bewilderment
2023,Paul Lynch,Prophet Song
2024,Samantha Harvey,Orbital
