Year,Author,Title
2000,Vernor Vinge,A Deepness in the Sky
2001,J K Rowling,Harry Potter and the Goblet of Fire
2002,Neil Gaiman,American Gods
2003,Robert J Sawyer,Hominids
2004,Lois McMaster Bujold,Paladin of Souls
2005,Susanna Clarke,Jonathan Strange & Mr Norrell
2006,Robert Charles Wilson,Spin
2007,Vernor Vinge,Rainbows End
2008,Michael Chabon,The Yiddish Policemen's Union
2009,Neil Gaiman,The Graveyard Book
2010,Paolo Bacigalupi,The Windup Girl
2010,China Miéville,The City & the City
2011,Connie Willis,Blackout/All Clear
2012,Jo Walton,Among Others
2013,John Scalzi,Redshirts
2014,Ann Leckie,Ancillary Justice
2015,Cixin Liu,The Three-Body Problem
2016,N K Jemisin,The Fifth Season
2017,N K Jemisin,The Obelisk Gate
2018,N K Jemisin,The Stone Sky
2019,Mary Robinette Kowal,The Calculating Stars
2020,Arkady Martine,A Memory Called Empire
2021,Martha Wells,Network Effect
2022,Arkady Martine,A Desolation Called Peace
2023,Ursula Vernon,Nestle & Bone
2024,Emily Tesh,Some Desperate Glory
