Year,Author,Title
2000,Octavia E Butler,Parable of the Talents
2001,Greg Bear,Darwin's Radio
2002,Catherine Asaro,The Quantum Rose
2003,Neil Gaiman,American Gods
2004,Elizabeth Moon,The Speed of Dark
2005,Lois McMaster Bujold,Paladin of Souls
2006,Joe Haldeman,Camouflage
2007,Jack McDevitt,Seeker
2008,Michael Chabon,The Yiddish Policemen's Union
2009,Ursula K Le Guin,Powers
2010,Paolo Bacigalupi,The Windup Girl
2011,Connie Willis,Blackout/All Clear
2012,Jo Walton,Among Others
2013,Kim Stanley Robinson,2312
2014,Ann Leckie,Ancillary Justice
2015,Jeff VanderMeer,Annihilation
2016,Naomi Novik,Uprooted
2017,Charlie Jane Anders,All the Birds in the Sky
2018,N K Jemisin,The Stone Sky
2019,Mary Robinette Kowal,The Calculating Stars
2020,Sarah Pinsker,A Song for a New Day
2021,Martha Wells,Network Effect
2022,P Djèlí Clark,A Master of Djinn
2023,R F Kuang,Babel
2024,Vajra Chandrasekera,The Saint of Brigth Doors
