Year,Author,Title
2000,Ted Chiang,Story of Your Life
2001,Linda Nagata,Goddesses
2002,Jack Williamson,The Ultimate Earth
2003,Richard Chwedyk,Bronte's Egg
2004,Neil Gaiman,Coraline
2005,Walter Jon Williams,The Green Leopard Plague
2006,Kelly Link,Magic for Beginners
2007,James Patrick Kelly,Burn
2008,Nancy Kress,Fountain of Age
2009,Catherine Asaro,The Spacetime Pool
2010,Kage Baker,The Women of Nell Gwynne's
2011,Rachel Swirsky,The Lady Who Plucked Red Flowers Beneath the Queen's Window
2012,Kij Johnson,The Man who Bridged the Mist
2013,Nancy Kress,After the Fall Before the Fall During the Fall
2014,Vylar Kaftan,The Weight of the Sunrise
2015,Nancy Kress,Yesterday's Kin
2016,Nnedi Okorafor,Binti
2017,Seanan McGuire,Every Heart a Doorway
2018,Martha Wells,All Systems Red
2019,Aliette de Bodard,The Tea Master and the Detective
2020,Amal El-Mohtar,This Is How You Lose the Time War
2020,Max Gladstone,This Is How You Lose the Time War
2021,P Djèlí Clark,Ring Shout
2022,Premee Mohamed,And What Can We Offer You Tonight
2023,C L Polk,Even Though I Knew the End
2024,Ai Jiang,Linghun
