Year,Author,Title
2000,Leslie What,The Cost of Doing Business
2001,Terry Bisson,Macs
2002,Severna Park,The Cure for Everything
2003,Carol Emshwiller,Creature
2004,Karen Joy Fowler,What I Didn't See
2005,Eileen Gunn,Coming to Terms
2006,Carol Emshwiller,I Live With You
2007,Elizabeth Hand,Echo
2008,Karen Joy Fowler,Always
2009,Nina Kiriki Hoffman,Trophy Wives
2010,Kij Johnson,Spar
2011,Kij Johnson,Ponies
2011,Harlan Ellison,How Interesting: A Tiny Man
2012,Ken Liu,The Paper Menagerie
2013,Aliette de Bodard,Immersion
2014,Rachel Swirsky,If You Were a Dinosaur My Love
2015,Ursula Vernon,Jackalope Wives
2016,Alyssa Wong,Hungry Daughters of Starving Mothers
2017,Amal El-Mohtar,Seasons of Glass and Iron
2018,Rebecca Roanhorse,Welcome to Your Authentic Indian Experience
2019,Phenderson Djèlí Clark,The Secret Lives of the Nine Negro Teeth of George Washington
2020,A T Greenblatt,Give the Family My Love
2021,John Wiswell,Open House on the Haunted Hill
2022,Sarah Pinkser,Where Oaken Hearts Do Gather
2023,Samantha Mills,Rabbit Test
2024,R S A Garcia,Tantie Merle and the Farmhand 4200
