Year,Author,Title
2000,John W Dower,Embracing Defeat: Japan in the Wake of World War II
2001,Herbert P Bix,Hirohito and the Making of Modern Japan
2002,Diane McWhorter,Carry Me Home: Birmingham Alabama the Climactic Battle of the Civil Rights Revolution
2003,Samantha Power,A Problem from Hell
2004,Anne Applebaum,Gulag: A History
2005,Steve Coll,Ghost Wars
2006,Caroline Elkins,Imperial Reckoning: The Untold Story of Britain's Gulag in Kenya
2007,Lawrence Wright,The Looming Tower: Al-Qaeda and the Road to 9/11
2008,Saul Friedlander,The Years of Extermination
2009,Douglas A Blackmon,Slavery by Another Name: The Re-Enslavement of Black Americans from the Civil War to World War II
2010,David E Hoffman,The Dead Hand: The Untold Story of the Cold War
2011,Siddhartha Mukherjee,The Emperor of All Maladies: A Biography of Cancer
2012,Stephen Greenblatt,The Swerve: How the World Became Modern
2013,Gilbert King,Devil in the Grove: Thurgood Marshall
2014,Dan Fagin,Toms River: A Story of Science and Salvation
2015,Elizabeth Kolbert,The Sixth Extinction: An Unnatural History
2016,Joby Warrick,Black Flags: The Rise of ISIS
2017,Matthew Desmond,Evicted: Poverty and Profit in the American City
2018,James Forman Jr,Locking Up Our Own: Crime and Punishment in Black America
2019,Eliza Griswold,Amity and Prosperity: One Family and the Fracturing of America
2020,Greg Grandin,The End of the Myth: From the Frontier to the Border Wall in the Mind of America
2020,Anne Boyer,The Undying
2021,David Zucchino,Wilmington's Lie: The Murderous Coup of 1898 and the Rise
2022,Andrea Elliott,Invisible Child
2023,Robert Samuels,His name is George Floyd: One Man's Life and the Struggle for Racial Justice
2024,Nathan Thrall,A day in the life of a Abed Salama: A Palestinian Village Under Occupation
