Year,Author,Title
2000,Jhumpa Lahiri,Interpreter of Maladies
2001,Michael Chabon,The Amazing Adventures of Kavalier & Clay
2002,Richard Russo,Empire Falls
2003,Jeffrey Eugenides,Middlesex
2004,Edward P Jones,The Known World
2005,Marilyn Robinson,Gilead
2006,Geraldine Brooks,March
2007,Cormac McCarthy,The Road
2008,Junot Diaz,The Brief Wondrous Life of Oscar Wao
2009,Elizabeth Strout,Olive Kitteridge
2010,Paul Harding,Tinkers
2011,Jennifer Egan,A Visit from the Goon Squad
2012,N/A,N/A
2013,Adam Johnson,The Orphan Master's Son
2014,Donna Tartt,The Goldfinch
2015,Anthony Doerr,All the Light We Cannot See
2016,Viet Thanh Nguyen,The Sympathizer
2017,Colson Whitehead,The Underground Railroad
2018,Andrew Sean Greer,Less
2019,Richard Powers,The Overstory
2020,Colson Whitehead,The Nickel
2021,Louise Erdrich,The Night Watchman
2022,Joshua Cohen,The Netanyahaus
2023,Hernan Diaz,Trust
2023,Barbara Kingsolver,Demon Copperhead
2024,Jayne Anne Phillips,Night Watch
