Year,Rank,Title,Author,Cover,Rating,Reviews,Price,Detail Link
2000,1,"Harry Potter and the Goblet of Fire (Harry Potter, Book 4) (4)",J.K. Rowling,Hardcover,4.8 out of 5 stars,"90,350",$17.76,
2000,2,Who Moved My Cheese,Spencer Johnson,Hardcover,4.6 out of 5 stars,"27,763",$12.99,
2000,3,"Harry Potter and the Prisoner of Azkaban (Harry Potter, Book 3) (3)",J.K. Rowling,Hardcover,4.8 out of 5 stars,"98,906",$16.49,
2000,4,Harry Potter and the Chamber of Secrets,J.K. Rowling,Hardcover,4.8 out of 5 stars,"102,934",$15.78,
2000,5,Harry Potter and the Sorcerer's Stone (1),J.K. Rowling,Hardcover,4.8 out of 5 stars,"135,640",$16.35,
2000,6,Body for Life: 12 Weeks to Mental and Physical Strength,Bill Phillips,Hardcover,4.4 out of 5 stars,"1,268",$22.49,
2000,7,The Brethren,John Grisham,Hardcover,4.3 out of 5 stars,"16,298",$15.67,
2000,8,"The Beatles Anthology: (Beatles Gifts, The Beatles Merchandise, Beatles Memorabilia)",The Beatles,Hardcover,4.8 out of 5 stars,"1,251",$4.95,
2000,9,The Poisonwood Bible (Oprah's Book Club),Barbara Kingsolver,Paperback,4.5 out of 5 stars,"17,374",$11.07,
2000,10,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and the Middle Class Do Not!,Robert T. Kiyosaki,Paperback,4.6 out of 5 stars,"23,816",$16.43,
2000,11,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Paperback,4.8 out of 5 stars,"135,640",$0.59,
2000,12,"Tuesdays with Morrie: An Old Man, A Young Man and Life's Greatest Lesson",Mitch Albom,Hardcover,4.8 out of 5 stars,"38,975",$11.79,
2000,13,"Eating Well for Optimum Health: The Essential Guide to Food, Diet, and Nutrition",Andrew Weil M.D.,Hardcover,4.4 out of 5 stars,276,$12.33,
2000,14,The Bear and the Dragon,Tom Clancy,Hardcover,4.5 out of 5 stars,"7,651",$20.00,
2000,15,The Seat of the Soul,Gary Zukav,Paperback,4.6 out of 5 stars,"6,236",$7.78,
2000,16,"The O'Reilly Factor: The Good, the Bad, and the Completely Ridiculous in American Life",Bill O'Reilly,Hardcover,4.4 out of 5 stars,387,$8.68,
2000,17,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Paperback,4.7 out of 5 stars,"116,235",$7.05,
2000,18,"First, Break All the Rules: What the World's Greatest Managers Do Differently",Marcus Buckingham,Hardcover,4.6 out of 5 stars,"2,623",$17.22,
2000,19,Talking Dirty With The Queen Of Clean,Linda Cobb,Paperback,4.5 out of 5 stars,149,$11.91,
2000,20,The Worst-Case Scenario Survival Handbook (Worst Case Scenario (WORS)),Joshua Piven,Paperback,4.4 out of 5 stars,510,$1.04,
2000,21,Flags of Our Fathers,James Bradley,Hardcover,4.7 out of 5 stars,"2,047",$14.87,
2000,22,The Indwelling: The Beast Takes Possession (Left Behind #7),Jerry B. Jenkins,Hardcover,4.8 out of 5 stars,"1,641",$8.84,
2000,23,The 7 Habits of Highly Effective People,Stephen R. Covey,Paperback,4.6 out of 5 stars,"19,621",$9.26,
2000,24,It's Not about the Bike: My Journey Back to Life,Lance Armstrong,Hardcover,4.4 out of 5 stars,"1,580",$18.78,
2000,25,From Dawn to Decadence: 1500 to the Present: 500 Years of Western Cultural Life,Jacques Barzun,Hardcover,4.4 out of 5 stars,102,$26.29,
2000,26,Relationship Rescue: A Seven-Step Strategy for Reconnecting with You Partner,Phillip C. McGraw,Hardcover,4.4 out of 5 stars,954,$18.00,
2000,27,Gap Creek : The Story of a Marriage,Robert Morgan,Hardcover,4.2 out of 5 stars,"1,187",$13.05,
