Year,Rank,Title,Author,Cover,Rating,Reviews,Price,Genre,Sub-Genres
2000,1,"Harry Potter and the Goblet of Fire (Harry Potter, Book 4) (4)",J.K. Rowling,Hardcover,4.8 out of 5 stars,"90,350",$17.76,Fiction,"Fantasy, Young Adult, Magic, Childrens"
2000,2,Who Moved My Cheese,Spencer Johnson,Hardcover,4.6 out of 5 stars,"27,763",$12.99,Nonfiction,"Self Help, Business, Psychology, Leadership, Personal Development, Management"
2000,3,"Harry Potter and the Prisoner of Azkaban (Harry Potter, Book 3) (3)",J.K. Rowling,Hardcover,4.8 out of 5 stars,"98,906",$16.49,Fiction,"Fantasy, Young Adult, Magic, Childrens"
2000,4,Harry Potter and the Chamber of Secrets,J.K. Rowling,Hardcover,4.8 out of 5 stars,"102,934",$15.78,Fiction,"Fantasy, Young Adult, Magic, Childrens"
2000,5,Harry Potter and the Sorcerer's Stone (1),J.K. Rowling,Hardcover,4.8 out of 5 stars,"135,640",$16.35,Fiction,"Fantasy, Young Adult, Magic, Childrens"
2000,6,Body for Life: 12 Weeks to Mental and Physical Strength,Bill Phillips,Hardcover,4.4 out of 5 stars,"1,268",$22.49,Nonfiction,"Self Help, Reference"
2000,7,The Brethren,John Grisham,Hardcover,4.3 out of 5 stars,"16,298",$15.67,Fiction,"Thriller, Mystery, Crime"
2000,8,"The Beatles Anthology: (Beatles Gifts, The Beatles Merchandise, Beatles Memorabilia)",The Beatles,Hardcover,4.8 out of 5 stars,"1,251",$4.95,Nonfiction,"Biography, History, Autobiography, Memoir"
2000,9,The Poisonwood Bible (Oprah's Book Club),Barbara Kingsolver,Paperback,4.5 out of 5 stars,"17,374",$11.07,Fiction,"Historical Fiction, Literary Fiction, Religion"
2000,10,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and the Middle Class Do Not!,Robert T. Kiyosaki,Paperback,4.6 out of 5 stars,"23,816",$16.43,Nonfiction,"Finance, Business, Self Help, Personal Finance, Personal Development"
2000,11,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Paperback,4.8 out of 5 stars,"135,640",$0.59,Fiction,"Fantasy, Young Adult, Magic, Childrens"
